"AGE","RACE_WHITE","RACE_BLACK","RACE_HISP","NTV_ENG","NTV_SP","WELFKID_1","WELFKID_2","WELFKID_3","WELFKID_4","MARRIED_1","HASCHLD","HGC","HS_D","GED_D","VOC_D","OTH_DEG","ANY_ED1","YR_WORK1","CURRJOB","GOT_ANYW","PERS_INC","EVARRST1","GUILTY2","EVJAIL2","WELF_KID","cate","Y","treat","train"
18.013698630137,0,0,0,0,0,0,0,1,0,1,0,8,0,0,0,0,1,0,0,1,1,0,0,0,3,13.5072685106307,14.5780496434235,0,1
18.4712328767123,1,0,0,1,0,0,1,0,0,1,0,11,0,0,0,0,1,0,0,0,1,0,0,0,2,7.17721662148106,0,1,0
16.6301369863014,0,1,0,1,0,1,0,0,0,1,0,10,0,0,0,0,1,0,0,1,1,1,0,0,1,-1.50135899299386,200.838971108889,1,1
18.5150684931507,0,1,0,1,0,0,0,0,1,1,0,10,0,0,0,0,1,1,0,1,1,1,1,0,4,12.0095408886582,0,1,0
16.1260273972603,0,1,0,1,0,1,0,0,0,1,0,8,0,0,0,0,1,1,0,0,1,0,0,0,1,27.5181520401499,150.804753488003,1,0
23.9315068493151,0,0,0,0,1,0,0,0,1,1,1,8,0,0,0,0,0,0,0,1,1,0,0,0,4,8.4164474507768,0,1,0
16.0547945205479,0,0,1,1,0,1,0,0,0,1,0,8,0,0,0,0,1,0,0,0,1,0,0,0,1,21.1279368059189,55.0506838815491,0,1
21.2739726027397,0,1,0,1,0,0,1,0,0,1,0,12,1,0,0,0,1,1,0,1,1,0,0,0,2,14.9443434462186,0,0,1
18.2246575342466,0,1,0,1,0,0,0,0,1,1,0,8,0,0,0,0,0,1,0,1,1,1,1,1,4,24.3696133792985,244.242682471266,1,1
16.5123287671233,0,1,0,1,0,0,0,1,0,1,0,9,0,0,0,0,1,1,0,0,1,1,1,0,3,7.54940946775753,253.327159144424,0,0
21.6246575342466,0,1,0,1,0,0,0,1,0,1,1,11,0,0,0,0,1,0,0,1,1,0,0,0,3,21.9669347311545,0,0,1
21.786301369863,0,1,0,1,0,1,0,0,0,1,0,11,0,0,0,0,1,1,0,0,1,1,1,1,1,-11.279515158702,0,0,1
20.5753424657534,1,0,0,1,0,1,0,0,0,1,0,12,1,0,0,0,0,1,0,0,1,0,0,0,1,31.7595357260363,194.470362214367,0,0
16.0821917808219,0,0,0,0,0,1,0,0,0,1,0,9,0,0,0,0,0,1,0,1,1,1,0,0,1,15.8050749727702,0,0,1
16.5095890410959,0,1,0,1,0,1,0,0,0,1,0,9,0,0,0,0,1,0,0,1,1,0,0,0,1,-13.7555117523611,0,0,0
19.9260273972603,0,1,0,1,0,0,1,0,0,1,0,11,0,0,0,0,1,1,1,1,1,1,0,0,2,-1.3350466011674,236.045756272176,1,1
16.2328767123288,0,1,0,1,0,0,1,0,0,1,0,9,0,0,0,0,1,1,0,0,1,1,0,0,2,14.9666994923796,362.599334576807,1,1
23.572602739726,0,1,0,1,0,1,0,0,0,1,0,12,1,0,0,0,0,1,1,1,2,0,0,0,1,20.8237259165778,195.983881694405,0,0
16.6,0,1,0,1,0,1,0,0,0,1,0,10,0,0,0,0,1,0,0,0,1,0,0,0,1,2.14551817037086,0,1,1
21.3041095890411,0,1,0,1,0,0,0,0,1,1,0,11,0,0,0,0,0,1,0,1,3,0,0,0,4,20.6705423616188,0,0,1
17.1616438356164,0,1,0,1,0,0,1,0,0,1,0,9,0,0,0,0,1,1,0,1,1,1,1,1,2,18.6612575908663,198.840032469537,0,1
18.4438356164384,0,1,0,1,0,1,0,0,0,1,0,9,0,0,0,0,1,1,0,0,2,1,1,1,1,18.3803855232876,461.124047216042,0,0
17.4849315068493,0,1,0,1,0,0,0,0,1,0,0,11,0,0,0,0,1,1,0,1,1,0,0,0,4,11.4080895568256,0,0,0
23.7342465753425,0,0,1,1,0,1,0,0,0,1,1,14,1,0,0,0,0,0,0,1,3,0,0,0,1,19.7001697173479,265.375794674782,1,1
17.1178082191781,1,0,0,1,0,0,0,1,0,1,0,10,0,0,0,0,1,1,0,1,1,1,1,0,3,18.6793100536057,127.645587795907,0,0
19.7835616438356,0,1,0,1,0,0,1,0,0,1,0,12,1,0,0,1,1,1,1,1,2,1,1,1,2,0.71507112478528,0,1,1
16.0054794520548,1,0,0,1,0,1,0,0,0,1,0,8,0,0,0,0,1,0,0,1,1,1,1,0,1,15.2670392423805,230.717246435456,0,0
16.4657534246575,0,1,0,1,0,0,0,1,0,1,0,9,0,0,0,0,1,0,0,1,1,1,0,0,3,5.27271999210929,129.431553928461,0,0
18.6630136986301,0,1,0,1,0,1,0,0,0,1,0,11,0,0,0,0,1,1,1,0,1,0,0,0,1,12.3743516038934,111.69285121087,1,1
